date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label
2026-05-02,Seismic,Seismic line 1000,17,0502-S1000-17,-91.5858040893,41.6654291040,204.738,1000_17
2026-05-02,Seismic,Seismic line 1000,18,0502-S1000-18,-91.5857996899,41.6654468114,204.818,1000_18
2026-05-02,Seismic,Seismic line 1000,19,0502-S1000-19,-91.5857952784,41.6654645187,204.856,1000_19
2026-05-02,Seismic,Seismic line 1000,20,0502-S1000-20,-91.5857908672,41.6654822169,204.856,1000_20
2026-05-02,Seismic,Seismic line 1000,21,0502-S1000-21,-91.5857864557,41.6654999242,204.896,1000_21
2026-05-02,Seismic,Seismic line 1000,22,0502-S1000-22,-91.5857820443,41.6655176314,204.896,1000_22
2026-05-02,Seismic,Seismic line 1000,23,0502-S1000-23,-91.5857776328,41.6655353387,204.914,1000_23
2026-05-02,Seismic,Seismic line 1000,24,0502-S1000-24,-91.5857732215,41.6655530370,204.974,1000_24
2026-05-02,Seismic,Seismic line 1000,25,0502-S1000-25,-91.5857688101,41.6655707442,204.954,1000_25
2026-05-02,Seismic,Seismic line 1000,26,0502-S1000-26,-91.5857643986,41.6655884515,204.994,1000_26
2026-05-02,Seismic,Seismic line 1000,27,0502-S1000-27,-91.5857599871,41.6656061587,205.049,1000_27
2026-05-02,Seismic,Seismic line 1000,28,0502-S1000-28,-91.5857555757,41.6656238660,205.149,1000_28
2026-05-02,Seismic,Seismic line 2000,01,0502-S2000-01,-91.5858276564,41.6653868275,212.646,2000_1
2026-05-02,Seismic,Seismic line 2000,02,0502-S2000-02,-91.5858510496,41.6653909162,212.114,2000_2
2026-05-02,Seismic,Seismic line 2000,03,0502-S2000-03,-91.5858744430,41.6653949960,212.024,2000_3
2026-05-02,Seismic,Seismic line 2000,04,0502-S2000-04,-91.5858978361,41.6653990847,212.752,2000_4
2026-05-02,Seismic,Seismic line 2000,05,0502-S2000-05,-91.5859212293,41.6654031734,213.440,2000_5
2026-05-02,Seismic,Seismic line 2000,06,0502-S2000-06,-91.5859446225,41.6654072621,213.895,2000_6
2026-05-02,Seismic,Seismic line 2000,07,0502-S2000-07,-91.5859680159,41.6654113418,213.607,2000_7
2026-05-02,Seismic,Seismic line 2000,08,0502-S2000-08,-91.5859914091,41.6654154306,213.320,2000_8
2026-05-02,Seismic,Seismic line 2000,09,0502-S2000-09,-91.5860148023,41.6654195193,213.248,2000_9
2026-05-02,Seismic,Seismic line 2000,10,0502-S2000-10,-91.5860381954,41.6654236080,213.195,2000_10
2026-05-02,Seismic,Seismic line 2000,11,0502-S2000-11,-91.5860615888,41.6654276877,213.168,2000_11
2026-05-02,Seismic,Seismic line 2000,12,0502-S2000-12,-91.5860849820,41.6654317764,213.141,2000_12
2026-05-02,Seismic,Seismic line 2000,13,0502-S2000-13,-91.5861083752,41.6654358650,212.824,2000_13
2026-05-02,Seismic,Seismic line 2000,14,0502-S2000-14,-91.5861317684,41.6654399537,212.496,2000_14
