Line,Sample,X,Y,Mark,Status,GPSStat,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1410Hz,Q_1410Hz,I_4350Hz,Q_4350Hz,I_13530Hz,Q_13530Hz,I_42150Hz,Q_42150Hz,QSum
0,145,617646.49,4613605.07,0,0,2,71029427.3,194349.4273,1.8,-749,518.836,3.39011,74.7951,-82.7,458.444,171.995,1677.29,1514.71,4431.57,7160.93
0,146,617646.5,4613605.05,0,0,2,71029527.3,194349.5273,1.8,-730,590.638,59.6785,6.1042,-94.9,470.346,0.101458,1649.68,1678.05,4484.99,7201.76
0,147,617646.52,4613605.04,0,0,2,71029627.3,194349.6273,1.8,-678,517.372,23.8865,26.5562,-110,529.774,-102,1805.1,1806.21,4336.84,7215.64
0,148,617646.53,4613605.02,0,0,2,71029727.3,194349.7273,1.8,-711,462.96,24.9768,72.6428,-113,482.532,21.3433,1723.26,1684.49,4398.51,7139.91
0,149,617646.54,4613605,0,0,2,71029827.3,194349.8273,1.8,-783,501.532,23.4349,121.935,-139,446.26,116.465,1505.15,1642.44,4535.43,7110.31
0,150,617646.56,4613604.98,0,0,2,71029927.3,194349.9273,1.8,-705,530.458,18.7408,69.875,-127,512.158,51.8863,1610.17,1732.32,4619.87,7342.52
0,151,617646.57,4613604.97,0,0,2,71030027.3,194350.0273,1.8,-625,475.935,34.1011,24.5176,-89,534.386,76.4797,1804.2,1788.37,4514.78,7353.82
0,152,617646.59,4613604.97,0,0,2,71030127.3,194350.1273,1.8,-647,450.332,51.5219,63.6791,-127,542.465,184.188,1901.56,1592.31,4457.88,7415.91
0,153,617646.6,4613604.97,0,0,2,71030227.3,194350.2273,1.8,-664,516.745,-9.5,13.2742,-120,581.906,217.467,1748.21,1666.81,4527.57,7387.7
0,154,617646.61,4613604.97,0,0,2,71030327.3,194350.3273,1.8,-663,519.606,9.57467,-7.45,-113,465.09,239.215,1645.69,1675.47,4518.31,7141.24
0,155,617646.63,4613604.97,0,0,2,71030427.3,194350.4273,1.8,-695,518.897,1.4494,-19.9,-71.9,436.742,167.563,1684.23,1582.45,4543.16,7163.15
0,156,617646.64,4613604.97,0,0,2,71030527.3,194350.5273,1.8,-709,500.511,50.2466,32.2485,-69.5,491.432,63.9223,1767.3,1564.13,4528.4,7319.89
0,157,617646.66,4613604.97,0,0,2,71030627.3,194350.6273,1.7,-690,505.649,35.4208,73.1669,-117,487.996,13.4522,1738.95,1531.24,4505,7310.76
0,158,617646.67,4613604.97,0,0,2,71030727.3,194350.7273,1.8,-687,502.048,-2.96,-31.2,-194,513.714,199.985,1643.53,1559.15,4519.51,7147.56
0,159,617646.68,4613604.97,0,0,2,71030827.3,194350.8273,1.8,-693,523.007,11.7325,-56.4,-135,522.441,277.717,1816.07,1642.53,4502.06,7307.14
0,160,617646.7,4613604.97,0,0,2,71030927.3,194350.9273,1.8,-732,579.621,52.1052,-39.2,-81.4,523.626,188.025,1864.27,1656.08,4462.28,7390.57
1,9,617645.64,4613603.84,0,0,2,71044195.7,194404.1957,1.8,-705,656.798,11.8477,31.979,-138,475.89,114.449,1675.77,1755.02,4615.17,7455.61
1,10,617645.66,4613603.84,0,0,2,71044295.7,194404.2957,1.8,-683,581.597,-27.7,36.124,-167,427.111,137.193,1660.84,1686.38,4615.76,7321.43
1,11,617645.67,4613603.84,0,0,2,71044395.7,194404.3957,1.8,-716,520.304,48.0943,8.34471,-136,497.347,154.209,1642.31,1581.94,4499.2,7167.51
1,12,617645.68,4613603.84,0,0,2,71044495.7,194404.4957,1.8,-708,562.162,89.4815,-8.31,-119,527.77,86.4447,1716.16,1590.95,4531.3,7329.08
1,13,617645.7,4613603.84,0,0,2,71044595.7,194404.5957,1.7,-658,591.364,106.855,35.8041,-76.6,501.214,187.907,1700.01,1642.67,4547.81,7376.2
1,14,617645.71,4613603.84,0,0,2,71044695.7,194404.6957,1.7,-686,607.562,56.5991,94.1231,-83.1,572.529,205.833,1621.13,1600.96,4546.62,7441.96
1,15,617645.73,4613603.84,0,0,2,71044795.7,194404.7957,1.8,-667,562.953,17.7851,73.087,-94,469.349,62.4674,1737.83,1501.15,4569.65,7412.87
1,16,617645.74,4613603.84,0,0,2,71044895.7,194404.8957,1.8,-697,504.517,-3.56,91.3393,-128,468.822,67.9672,1855.19,1531.7,4464.49,7384.36
1,17,617645.75,4613603.84,0,0,2,71044995.7,194404.9957,1.7,-726,560.148,1.7935,162.469,-128,519.411,112.783,1760.85,1659.62,4495.35,7498.23
1,18,617645.73,4613603.88,0,0,2,71045095.7,194405.0957,1.7,-631,589.064,27.2445,163.494,-110,494.245,112.626,1779.89,1616.62,4555.5,7582.19
1,19,617645.7,4613603.92,0,0,2,71045195.7,194405.1957,1.7,-610,587.814,27.2251,142.289,-118,480.733,84.0958,1771.18,1499.25,4606.46,7588.48
1,20,617645.67,4613603.95,0,0,2,71045295.7,194405.2957,1.8,-678,584.224,-3.53,111.058,-85.9,458.776,100.869,1687.82,1581,4635.64,7477.52
1,21,617645.64,4613603.99,0,0,2,71045395.7,194405.3957,1.8,-674,577.067,1.00483,1.13293,-121,416.104,170.608,1702.21,1740.45,4667.51,7364.02
1,22,617645.61,4613604.03,0,0,2,71045495.7,194405.4957,1.8,-631,627.622,-11.3,13.7078,-149,477.277,112.447,1702.38,1713.03,4581.07,7402.05
1,23,617645.59,4613604.06,0,0,2,71045595.7,194405.5957,1.7,-617,602.449,30.5496,57.5406,-136,526.911,225.475,1710.65,1731.57,4570.2,7467.75
1,24,617645.56,4613604.1,0,0,2,71045695.7,194405.6957,1.8,-659,618.739,42.65,46.7962,-197,524.264,321.885,1700.36,1776.03,4566.62,7456.78
1,25,617645.53,4613604.14,0,0,2,71045795.7,194405.7957,1.8,-681,601.727,16.071,9.79294,-150,502.236,236.756,1675.12,1645.2,4578.06,7366.94
1,26,617645.5,4613604.17,0,0,2,71045895.7,194405.8957,1.7,-688,578.006,0.696129,-27.3,-88.4,524.296,219.186,1676.71,1538.82,4682.09,7433.78
1,27,617645.47,4613604.21,0,0,2,71045995.7,194405.9957,1.8,-727,587.364,-82.6,-27.4,-162,566.63,41.4355,1717.27,1599.57,4637.85,7481.67
1,28,617645.44,4613604.21,0,0,2,71046095.7,194406.0957,1.7,-735,639.926,-64.3,12.721,-237,484.321,30.6701,1815.34,1715.46,4684.11,7636.42
1,29,617645.42,4613604.21,0,0,2,71046195.7,194406.1957,1.8,-711,644.574,-83.5,-31.1,-215,393.674,156.026,1787.71,1652.96,4618.35,7413.19
1,30,617645.39,4613604.21,0,0,2,71046295.7,194406.2957,1.8,-723,651.395,-22.4,-18.1,-210,449.588,76.24,1704.17,1641.58,4572.86,7359.92
1,31,617645.36,4613604.21,0,0,2,71046395.7,194406.3957,1.8,-674,638.444,-40.9,85.9446,-238,506.536,11.9796,1748.49,1657.61,4689.31,7668.72
1,32,617645.33,4613604.21,0,0,2,71046495.7,194406.4957,1.7,-656,619.459,-23.2,58.2305,-139,548.349,62.6247,1770.07,1560.56,4723.26,7719.37
1,33,617645.31,4613604.21,0,0,2,71046595.7,194406.5957,1.8,-664,674.181,-4.71,30.6492,-155,522.974,145.79,1848.24,1521.69,4636.26,7712.31
1,34,617645.28,4613604.21,0,0,2,71046695.7,194406.6957,1.7,-688,583.377,52.7105,46.0212,-129,497.416,189.422,1785.48,1528.64,4486.26,7398.56
1,35,617645.25,4613604.21,0,0,2,71046795.7,194406.7957,1.8,-708,472.018,12.9971,39.8696,-114,504.669,-29.4,1681.6,1561.68,4559.18,7257.33
1,36,617645.22,4613604.21,0,0,2,71046895.7,194406.8957,1.7,-727,550.793,10.6894,21.8416,-128,506.768,135.16,1599.82,1580.63,4599.38,7278.61
1,37,617645.19,4613604.21,0,0,2,71046995.7,194406.9957,1.7,-633,609.766,9.75312,-16.4,-89.8,526.012,107.564,1642.82,1689.93,4609.16,7371.37
1,38,617645.18,4613604.21,0,0,2,71047095.7,194407.0957,1.8,-643,611.131,14.4392,-5.84,-98.6,572.449,93.2741,1746.66,1828.13,4586.14,7510.54
1,39,617645.17,4613604.2,0,0,2,71047195.7,194407.1957,1.8,-787,591.369,20.4036,39.6683,-163,569.841,44.9917,1840.17,1677.85,4593.34,7634.39
1,40,617645.15,4613604.2,0,0,2,71047295.7,194407.2957,1.7,-721,664.136,30.3702,66.7833,-200,549.997,4.31311,1873.8,1529.23,4493.5,7648.22
1,41,617645.14,4613604.2,0,0,2,71047395.7,194407.3957,1.7,-708,692.266,-32.1,34.4426,-147,520.717,-27.6,1810.86,1628.56,4621.09,7679.38
1,42,617645.12,4613604.2,0,0,2,71047495.7,194407.4957,1.7,-651,674.956,63.9694,26.636,-98.1,540.155,-8.69,1764.12,1585.87,4692.53,7698.4
1,43,617645.11,4613604.2,0,0,2,71047595.7,194407.5957,1.8,-563,597.648,77.82,51.4102,-103,553.538,116.527,1722.97,1673.04,4653.54,7579.11
1,44,617645.1,4613604.2,0,0,2,71047695.7,194407.6957,1.8,-715,552.237,17.7146,55.3265,-174,590.157,197.572,1677.69,1717.45,4600.43,7475.84
1,45,617645.08,4613604.2,0,0,2,71047795.7,194407.7957,1.8,-763,608.599,-44.3,93.8646,-167,637.378,156.291,1721.19,1748.32,4606.78,7667.81
1,46,617645.07,4613604.2,0,0,2,71047895.7,194407.8957,1.7,-692,627.533,-96.1,115.404,-110,578.468,145.872,1737.47,1746.69,4593.88,7652.76
1,47,617645.06,4613604.2,0,0,2,71047995.7,194407.9957,1.8,-645,623.477,-65.1,93.3669,-99.3,554.439,136.387,1932.54,1695.72,4628.68,7832.5
1,48,617645.04,4613604.2,0,0,2,71048095.7,194408.0957,1.7,-780,664.191,5.09862,51.6345,-161,575.503,128.99,1853.68,1712.95,4786.98,7931.99
1,49,617645.03,4613604.2,0,0,2,71048195.7,194408.1957,1.7,-722,680.316,0.438273,32.0073,-176,622.204,165.337,1796.21,1723.79,4801.63,7932.36
1,50,617645.01,4613604.2,0,0,2,71048295.7,194408.2957,1.8,-719,617.808,-82.3,-6.29,-145,553.615,189.086,1816.83,1717.63,4726.54,7708.5
