date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label,data_class,elevation_source,quality_flags
2026-05-02,Seismic,Seismic line 1000,27,0502-S1000-27,-91.58575999,41.66560616,205.049,1000_27,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,28,0502-S1000-28,-91.58575558,41.66562387,205.149,1000_28,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,01,0502-S2000-01,-91.58582766,41.66538683,212.646,2000_1,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,02,0502-S2000-02,-91.58585105,41.66539092,212.114,2000_2,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,03,0502-S2000-03,-91.58587444,41.665395,212.024,2000_3,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,04,0502-S2000-04,-91.58589784,41.66539908,212.752,2000_4,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,05,0502-S2000-05,-91.58592123,41.66540317,213.44,2000_5,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,06,0502-S2000-06,-91.58594462,41.66540726,213.895,2000_6,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,07,0502-S2000-07,-91.58596802,41.66541134,213.607,2000_7,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,08,0502-S2000-08,-91.58599141,41.66541543,213.32,2000_8,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,09,0502-S2000-09,-91.5860148,41.66541952,213.248,2000_9,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,10,0502-S2000-10,-91.5860382,41.66542361,213.195,2000_10,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,11,0502-S2000-11,-91.58606159,41.66542769,213.168,2000_11,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,12,0502-S2000-12,-91.58608498,41.66543178,213.141,2000_12,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,13,0502-S2000-13,-91.58610838,41.66543586,212.824,2000_13,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,14,0502-S2000-14,-91.58613177,41.66543995,212.496,2000_14,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,15,0502-S2000-15,-91.58615516,41.66544403,212.838,2000_15,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,16,0502-S2000-16,-91.58617856,41.66544812,213.264,2000_16,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,17,0502-S2000-17,-91.58620195,41.66545221,213.356,2000_17,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,18,0502-S2000-18,-91.58622534,41.6654563,213.427,2000_18,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,19,0502-S2000-19,-91.58624875,41.66546038,213.478,2000_19,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,20,0502-S2000-20,-91.58627214,41.66546447,212.845,2000_20,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,21,0502-S2000-21,-91.58629553,41.66546856,212.263,2000_21,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,22,0502-S2000-22,-91.58631893,41.66547264,212.263,2000_22,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,23,0502-S2000-23,-91.58634232,41.66547672,212.263,2000_23,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,24,0502-S2000-24,-91.58636571,41.66548081,212.263,2000_24,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,25,0502-S2000-25,-91.58638911,41.6654849,212.263,2000_25,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,26,0502-S2000-26,-91.5864125,41.66548898,212.263,2000_26,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,27,0502-S2000-27,-91.58643589,41.66549307,212.263,2000_27,real,provided_in_source,
2026-05-02,Seismic,Seismic line 2000,28,0502-S2000-28,-91.58645929,41.66549716,212.263,2000_28,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-01,0502-EM1-01,-91.58685765,41.66546682,216.3,line 1_1,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-02,0502-EM1-02,-91.58686266,41.66552483,216.27,line 1_2,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-03,0502-EM1-03,-91.58686966,41.66557382,214.73,line 1_3,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-04,0502-EM1-04,-91.58688065,41.66561082,215.95,line 1_4,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-05,0502-EM1-05,-91.58689165,41.66565983,216.92,line 1_5,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-06,0502-EM1-06,-91.58689265,41.66570583,217.54,line 1_6,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-07,0502-EM1-07,-91.58690366,41.66573682,217.61,line 1_7,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-08,0502-EM1-08,-91.58690766,41.66578382,217.4,line 1_8,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-09,0502-EM1-09,-91.58692566,41.66581782,217.69,line 1_9,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-10,0502-EM1-10,-91.58693266,41.66586382,217.75,line 1_10,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-11,0502-EM1-11,-91.58693566,41.66591382,217.77,line 1_11,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-12,0502-EM1-12,-91.58694767,41.66595582,217.82,line 1_12,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-13,0502-EM1-13,-91.58696366,41.66601483,219.03,line 1_13,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-14,0502-EM1-14,-91.58696966,41.66605483,219.41,line 1_14,real,provided_in_source,
2026-05-02,EM,EM line 1,L1-15,0502-EM1-15,-91.58697266,41.66607982,219.41,line 1_15,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-01,0502-EM2-01,-91.58702966,41.66609083,218.69,line 2_1,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-02,0502-EM2-02,-91.58702466,41.66606083,218.18,line 2_2,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-03,0502-EM2-03,-91.58700366,41.66602082,218.52,line 2_3,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-04,0502-EM2-04,-91.58699566,41.66597682,218.11,line 2_4,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-05,0502-EM2-05,-91.58699465,41.66594983,217.91,line 2_5,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-06,0502-EM2-06,-91.58698566,41.66590083,217.55,line 2_6,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-07,0502-EM2-07,-91.58697566,41.66585782,217.15,line 2_7,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-08,0502-EM2-08,-91.58697866,41.66580183,216.78,line 2_8,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-09,0502-EM2-09,-91.58697166,41.66575982,213.67,line 2_9,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-10,0502-EM2-10,-91.58696366,41.66571382,216.17,line 2_10,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-11,0502-EM2-11,-91.58695066,41.66567282,215.52,line 2_11,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-12,0502-EM2-12,-91.58694266,41.66562982,215.7,line 2_12,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-13,0502-EM2-13,-91.58693966,41.66559282,214.62,line 2_13,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-14,0502-EM2-14,-91.58692266,41.66553882,214.27,line 2_14,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-15,0502-EM2-15,-91.58691466,41.66549882,214.71,line 2_15,real,provided_in_source,
2026-05-02,EM,EM line 2,L2-16,0502-EM2-16,-91.58691266,41.66546682,214.74,line 2_16,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-01,0502-EM3-01,-91.58698366,41.66546882,215.23,line 3_1,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-02,0502-EM3-02,-91.58699665,41.66550082,215.73,line 3_2,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-03,0502-EM3-03,-91.58699166,41.66553582,217.28,line 3_3,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-04,0502-EM3-04,-91.58699866,41.66555183,218.16,line 3_4,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-05,0502-EM3-05,-91.58701666,41.66558382,218.12,line 3_5,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-06,0502-EM3-06,-91.58702366,41.66563982,217.82,line 3_6,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-07,0502-EM3-07,-91.58703167,41.66569482,218.52,line 3_7,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-08,0502-EM3-08,-91.58702766,41.66572483,218.57,line 3_8,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-09,0502-EM3-09,-91.58703365,41.66576483,218.58,line 3_9,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-10,0502-EM3-10,-91.58703466,41.66581182,218.72,line 3_10,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-11,0502-EM3-11,-91.58704166,41.66583983,218.54,line 3_11,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-12,0502-EM3-12,-91.58704167,41.66588183,219.49,line 3_12,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-13,0502-EM3-13,-91.58705866,41.66592882,220,line 3_13,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-14,0502-EM3-14,-91.58706466,41.66597782,219.63,line 3_14,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-15,0502-EM3-15,-91.58707367,41.66602682,219.59,line 3_15,real,provided_in_source,
2026-05-02,EM,EM line 3,L3-16,0502-EM3-16,-91.58708465,41.66607082,219.59,line 3_16,real,provided_in_source,
2026-05-02,EM,EM line 4,L4-01,0502-EM4-01,-91.58715266,41.66613682,207.56,line 4_1,real,provided_in_source,elevation_differs_from_neighboring_line_interpolation
2026-05-02,EM,EM line 4,L4-02,0502-EM4-02,-91.58716166,41.66607382,211.4466926,line 4_2,real,interpolated_from_neighboring_em_points,interpolated_elevation
